Trial,Stim_Fast_sub001,Stim_Fast_sub002,Stim_Fast_sub003,Stim_Fast_sub004,Stim_Fast_sub005,Stim_Fast_sub006,Stim_Slow_sub001,Stim_Slow_sub002,Stim_Slow_sub003,Stim_Slow_sub004,Stim_Slow_sub005,Stim_Slow_sub006,Recovery_Fast_sub001,Recovery_Fast_sub002,Recovery_Fast_sub003,Recovery_Fast_sub004,Recovery_Fast_sub005,Recovery_Fast_sub006,Recovery_Slow_sub001,Recovery_Slow_sub002,Recovery_Slow_sub003,Recovery_Slow_sub004,Recovery_Slow_sub005,Recovery_Slow_sub006
44,845.529819101479,-396.539845205841,1089.46645018437,604.847069561718,-224.708961691194,755.271393003937,789.532816853811,-296.535010329718,-662.126754556675,1392.33526206475,-2814.14224275455,761.640842938021,2304.75324959325,-929.924760055798,384.218957283399,1470.8165065101,-1792.97245394205,2625.10835125013,-675.564542542844,-972.914629311861,-34.3704609566248,701.476412275861,-684.933738586909,-281.718526613497
45,631.015472414805,-533.621073359041,764.541685462046,1091.45935730869,-567.704715750817,687.051270080451,698.531252932079,-46.8977301292207,-1041.71967544651,2586.43142724172,-3115.45063864268,788.785399068976,2132.43090679488,-673.496397418471,287.058338212593,1010.26214248617,-1516.98607661944,2804.92238975485,-490.736305228371,-686.715918113624,53.0991432165056,877.990600496807,-913.56984352719,-197.597785196366
46,466.58945082538,-368.09948259415,567.151962969436,776.663161188078,-479.48232492226,917.256165496987,865.13473409351,-77.3951586921721,-611.096961433298,1300.51763907756,-2631.49600393361,102.341583231551,2511.64432855148,-941.329422553799,221.183554304027,1662.2201743984,-1667.4671143678,2912.77729677086,-553.518119269076,-644.259764164834,-156.283847143306,170.31481486612,-1699.25771653757,-650.358876888006
47,752.898748019819,-422.641327722677,201.172273962801,1141.58158786289,-1068.50424001916,898.831310000075,627.923077996816,-435.609319165032,-570.004518683198,2684.91687418181,-2164.36614798399,498.616015434041,2679.1169388885,-667.530522189865,216.928430636589,1405.48737783156,-1630.99409036746,2658.95815744721,-424.089083235724,-442.134718229897,-285.591657084837,-1264.15081300651,-1513.19046770072,-456.108060116522
48,950.565801214996,-299.445041529108,300.995718521021,567.879135990237,-873.908984240365,1161.00230264906,596.326688543615,-185.890229421555,-301.588143582654,1894.75571912876,-1775.76202583711,-417.206669256608,2567.99498875164,-850.28360763309,145.207894743712,1789.5595127391,-1683.0737442054,2550.45453217899,-345.766779483878,-590.957517899646,-357.211102005038,-1609.58685783543,-1849.69692204238,-223.303979077655
49,1197.37454623738,-540.099559668877,114.148661450735,1149.21627269578,-993.333033874825,1011.6243103809,216.895779773098,-498.464294084049,-212.738011353671,2409.67475979142,-2039.43552650885,-14.4668014509552,2185.90166391927,-691.305961723348,489.730718627518,1558.0113550281,-1700.49111862885,2236.48140631253,-392.354721111532,-326.580966429291,-226.881594792449,-1331.51810740174,-2382.48919462011,-1582.92489012057
50,1305.16979279655,-450.51548091216,121.440672049658,465.598522910179,-615.412029910329,1135.99483036402,528.223214347817,-686.100633420722,287.813939400229,1734.01299923453,-1774.73861798226,210.304958361741,2804.96444668899,-980.535629712293,467.906500045454,1778.29462747992,-1607.69131242979,1962.52257821603,-780.646803410387,-663.689536921504,-210.695326611119,-1662.27561878924,-2978.80693930563,-1516.54924860521
51,1597.43956745545,-671.422816538417,230.777322814788,887.667841610873,-823.557424752888,1070.36058313743,324.923858013037,-887.806957908645,-298.083415048919,2948.35044275897,-2429.16652816287,565.910998908797,2880.73294900717,-632.630275893049,618.526796456616,1661.63814723714,-1414.02309547494,1888.31085098376,-852.878138294609,-524.339991241836,-128.323177765793,-1609.78271737831,-2713.84538066014,-1361.96217471383
52,1598.04059935718,-540.296175054685,366.038438519713,495.930806831613,-767.20349271314,1070.62766427052,39.1840233206904,-701.141575153339,-214.640745897723,2216.92319531776,-2251.30945266338,-44.0544268599879,2985.40749451236,-804.277911897178,664.236859055432,2491.48490423323,-1391.83424246698,2191.97697045455,-1056.28760320824,-703.350423657193,-243.015907962666,-986.94409948306,-3136.63556559376,-1035.5862268367
53,1182.7891510466,-798.313912339,125.35333975397,1077.18898005562,-1136.23864122556,969.619891823552,219.869727966652,-927.832115082228,-340.489385745538,2541.65563267697,-2528.14578469246,588.903424081471,2894.78549031181,-510.032265148337,481.337981819258,2402.35210693452,-704.625527170229,2444.98515251858,-1056.518001513,-325.989453221113,-81.0746316314071,-876.632597355387,-3178.63606484397,-1156.07912038564
54,916.23155715399,-585.369228300345,217.613639672952,874.759331381834,-1202.73831288868,956.658283605396,345.81463794429,-875.79476999765,-370.740706980702,1888.37547755597,-1836.41555697141,-121.364687599615,3007.40944847833,-577.383691035176,137.513658804422,3018.60475289642,-483.109560682037,2849.650070536,-1132.3636027021,-276.957265983921,104.444959920754,-582.41028717918,-3617.6075619805,168.112049423848
55,561.912848211074,-778.864454668922,-86.8980374926505,1452.62927947992,-1396.67602541775,904.808452634064,58.3822282645233,-1309.34468291418,-571.423521751996,2992.34289170135,-1815.82507168704,-102.954223621135,2408.74163854128,-346.011800489906,231.821766358639,3386.64565531815,-24.7282932450889,2816.4713290677,-948.756278803025,-62.3771830304613,84.7760782229325,-565.303656956828,-3288.87508524817,-239.112590035475
56,912.971140980057,-622.541389138244,27.7682382928606,873.197824998164,-1291.12239508353,781.753237059938,-20.7408166183823,-1478.78635369012,-208.587590211589,2832.81194948679,-1349.76982349147,-853.937038329598,1934.52946449865,-556.719743670603,179.255661487979,4095.02371129739,46.6866088060788,2796.14649959669,-946.672736985617,-125.44763728715,-17.8855322770169,528.357175819221,-3556.74675277863,592.043250945449
57,533.276014830373,-727.632905388439,-149.395634216372,1624.22505872297,-1084.38550065229,633.980760660605,536.407620490761,-1623.77418682818,-412.611528642045,3059.84068477843,-1904.28434250746,-1051.82588913323,1509.53332356206,-470.922534900893,527.212180615003,3284.94687806447,453.302880518279,2744.44485558047,-1229.11305480248,159.711723022769,100.005575228314,594.969690482962,-3810.26998436642,669.927216754582
58,1393.01285884697,-378.064429564613,1.63730891402429,1192.71029226977,-452.683460080242,1031.60198927119,261.215331908299,-1504.38406685244,-408.165841696775,2858.07346896632,-1613.30977426587,-969.274829660166,1486.93398386002,-695.815513253703,658.330593687283,3766.97577754585,-95.1163673745314,2994.39238039488,-1543.69871156281,-48.1925692768564,106.807113043903,1934.35330587285,-4128.4977875599,931.956085405076
59,1556.92869464986,-539.520438426146,-371.197734063848,1136.94380973013,-311.805640660311,1155.90083406619,137.011681023941,-1587.69965316146,-432.941204144401,3672.62777562355,-2439.45738461078,-637.336775042622,1173.91349932605,-270.513062414463,704.34140382122,3447.14076861304,38.892781363792,2967.77796485421,-1347.66107497522,50.8609999302807,57.88986206352,1481.150506526,-3856.59549942199,-149.508189834723
60,1686.02673295684,-286.464753581548,164.854598082733,374.588039463466,-248.47222710826,1313.62735437848,44.5204255381304,-1484.30477180427,-595.89598899499,2913.47136448888,-1799.50979575931,-756.733828398636,1192.31466925923,-256.628054316724,380.055798509272,3402.00906824893,-420.131975398322,3358.65284833927,-1498.27317714102,-156.994040171841,-34.4832148420719,1812.55279289528,-4138.51189371005,666.549483580748
